lncrna_core_id	reference_accession	display_label	notes
83332	CATG00000083332.1	Hub-01 (CATG083332)	neutral draft hub label
70702	CATG00000070702.1	Hub-02 (CATG070702)	neutral draft hub label
87322	CATG00000087322.1	Hub-03 (CATG087322)	neutral draft hub label
500255197	ENSG00000255197.1	Hub-04 (ENSG255197)	neutral draft hub label
93273	CATG00000093273.1	Hub-05 (CATG093273)	neutral draft hub label
944	CATG00000000944.1	Hub-06 (CATG000944)	neutral draft hub label
500253230	ENSG00000253230.2	Hub-07 (ENSG253230)	neutral draft hub label
88206	CATG00000088206.1	Hub-08 (CATG088206)	neutral draft hub label
90176	CATG00000090176.1	Hub-09 (CATG090176)	neutral draft hub label
93058	CATG00000093058.1	Hub-10 (CATG093058)	neutral draft hub label
40550	CATG00000040550.1	Hub-11 (CATG040550)	neutral draft hub label
500224078	ENSG00000224078.8	Hub-12 (ENSG224078)	neutral draft hub label
