external_id	source	context	tpm	gencode_id	unit	dataset_id
ATP2B2	GTEx	Adipose_Subcutaneous	0.142263	ENSG00000157087.17	TPM	gtex_v8
ATP2B2	GTEx	Adipose_Visceral_Omentum	0.101088	ENSG00000157087.17	TPM	gtex_v8
ATP2B2	GTEx	Liver	14.8909	ENSG00000157087.17	TPM	gtex_v8
ATP2B2	GTEx	Muscle_Skeletal	1.9893900000000002	ENSG00000157087.17	TPM	gtex_v8
ATP2B2	GTEx	Whole_Blood	0.027382999999999998	ENSG00000157087.17	TPM	gtex_v8
ULK1	GTEx	Adipose_Subcutaneous	44.778999999999996	ENSG00000177169.9	TPM	gtex_v8
ULK1	GTEx	Adipose_Visceral_Omentum	33.8383	ENSG00000177169.9	TPM	gtex_v8
ULK1	GTEx	Liver	27.5174	ENSG00000177169.9	TPM	gtex_v8
ULK1	GTEx	Muscle_Skeletal	69.3541	ENSG00000177169.9	TPM	gtex_v8
ULK1	GTEx	Whole_Blood	51.3478	ENSG00000177169.9	TPM	gtex_v8
JMJD1C	GTEx	Adipose_Subcutaneous	22.8772	ENSG00000171988.18	TPM	gtex_v8
JMJD1C	GTEx	Adipose_Visceral_Omentum	21.4157	ENSG00000171988.18	TPM	gtex_v8
JMJD1C	GTEx	Liver	6.25363	ENSG00000171988.18	TPM	gtex_v8
JMJD1C	GTEx	Muscle_Skeletal	7.4489	ENSG00000171988.18	TPM	gtex_v8
JMJD1C	GTEx	Whole_Blood	7.29028	ENSG00000171988.18	TPM	gtex_v8
DLGAP1	GTEx	Adipose_Subcutaneous	0.135857	ENSG00000170579.16	TPM	gtex_v8
DLGAP1	GTEx	Adipose_Visceral_Omentum	0.256701	ENSG00000170579.16	TPM	gtex_v8
DLGAP1	GTEx	Liver	0.013283100000000003	ENSG00000170579.16	TPM	gtex_v8
DLGAP1	GTEx	Muscle_Skeletal	0.038939999999999995	ENSG00000170579.16	TPM	gtex_v8
DLGAP1	GTEx	Whole_Blood	0.015089400000000001	ENSG00000170579.16	TPM	gtex_v8
RNFT2	GTEx	Adipose_Subcutaneous	0.43203100000000005	ENSG00000135119.14	TPM	gtex_v8
RNFT2	GTEx	Adipose_Visceral_Omentum	0.27420900000000004	ENSG00000135119.14	TPM	gtex_v8
RNFT2	GTEx	Liver	0.0627433	ENSG00000135119.14	TPM	gtex_v8
RNFT2	GTEx	Muscle_Skeletal	0.0509768	ENSG00000135119.14	TPM	gtex_v8
RNFT2	GTEx	Whole_Blood	0.213248	ENSG00000135119.14	TPM	gtex_v8
TDH	GTEx	Adipose_Subcutaneous	0.102373	ENSG00000154316.16	TPM	gtex_v8
TDH	GTEx	Adipose_Visceral_Omentum	0.14321199999999998	ENSG00000154316.16	TPM	gtex_v8
TDH	GTEx	Liver	0.0525725	ENSG00000154316.16	TPM	gtex_v8
TDH	GTEx	Muscle_Skeletal	0.369263	ENSG00000154316.16	TPM	gtex_v8
TDH	GTEx	Whole_Blood	0.0768781	ENSG00000154316.16	TPM	gtex_v8
RSF1	GTEx	Adipose_Subcutaneous	11.6333	ENSG00000048649.13	TPM	gtex_v8
RSF1	GTEx	Adipose_Visceral_Omentum	8.91987	ENSG00000048649.13	TPM	gtex_v8
RSF1	GTEx	Liver	2.30016	ENSG00000048649.13	TPM	gtex_v8
RSF1	GTEx	Muscle_Skeletal	4.4698	ENSG00000048649.13	TPM	gtex_v8
RSF1	GTEx	Whole_Blood	2.35733	ENSG00000048649.13	TPM	gtex_v8
TPPP	GTEx	Adipose_Subcutaneous	5.40081	ENSG00000171368.11	TPM	gtex_v8
TPPP	GTEx	Adipose_Visceral_Omentum	5.589090000000001	ENSG00000171368.11	TPM	gtex_v8
TPPP	GTEx	Liver	2.04564	ENSG00000171368.11	TPM	gtex_v8
TPPP	GTEx	Muscle_Skeletal	6.35165	ENSG00000171368.11	TPM	gtex_v8
TPPP	GTEx	Whole_Blood	0.308172	ENSG00000171368.11	TPM	gtex_v8
