gene_symbol	term_id	term_name	source	evidence
ATP2B2	GO:0006816	calcium ion transport	MyGene.info GO BP	IMP
ATP2B2	GO:0007605	sensory perception of sound	MyGene.info GO BP	IMP
ATP2B2	GO:0030182	neuron differentiation	MyGene.info GO BP	IDA
ATP2B2	GO:0034220	monoatomic ion transmembrane transport	MyGene.info GO BP	TAS
ATP2B2	GO:0051480	regulation of cytosolic calcium ion concentration	MyGene.info GO BP	IBA
ATP2B2	GO:0070588	calcium ion transmembrane transport	MyGene.info GO BP	IEA
ATP2B2	GO:0090102	cochlea development	MyGene.info GO BP	IEA
ATP2B2	GO:0099566	regulation of postsynaptic cytosolic calcium ion concentration	MyGene.info GO BP	IEA
ATP2B2	GO:1903779	regulation of cardiac conduction	MyGene.info GO BP	IEA
ULK1	GO:0000045	autophagosome assembly	MyGene.info GO BP	IBA
ULK1	GO:0000423	mitophagy	MyGene.info GO BP	IBA
ULK1	GO:0006468	protein phosphorylation	MyGene.info GO BP	NAS
ULK1	GO:0006914	autophagy	MyGene.info GO BP	IDA
ULK1	GO:0007165	signal transduction	MyGene.info GO BP	IEA
ULK1	GO:0007409	axonogenesis	MyGene.info GO BP	IEA
ULK1	GO:0008104	intracellular protein localization	MyGene.info GO BP	IMP
ULK1	GO:0008285	negative regulation of cell population proliferation	MyGene.info GO BP	IDA
ULK1	GO:0010506	regulation of autophagy	MyGene.info GO BP	IBA
ULK1	GO:0010508	positive regulation of autophagy	MyGene.info GO BP	IDA
ULK1	GO:0010803	regulation of tumor necrosis factor-mediated signaling pathway	MyGene.info GO BP	TAS
ULK1	GO:0016236	macroautophagy	MyGene.info GO BP	IMP
ULK1	GO:0016241	regulation of macroautophagy	MyGene.info GO BP	IDA
ULK1	GO:0018105	peptidyl-serine phosphorylation	MyGene.info GO BP	IDA
ULK1	GO:0031175	neuron projection development	MyGene.info GO BP	IMP
ULK1	GO:0031333	negative regulation of protein-containing complex assembly	MyGene.info GO BP	IDA
ULK1	GO:0031669	cellular response to nutrient levels	MyGene.info GO BP	ISS
ULK1	GO:0033554	cellular response to stress	MyGene.info GO BP	IDA
ULK1	GO:0034727	piecemeal microautophagy of the nucleus	MyGene.info GO BP	IBA
ULK1	GO:0042594	response to starvation	MyGene.info GO BP	IBA
ULK1	GO:0046777	protein autophosphorylation	MyGene.info GO BP	IDA
ULK1	GO:0048671	negative regulation of collateral sprouting	MyGene.info GO BP	IBA
ULK1	GO:0048675	axon extension	MyGene.info GO BP	IBA
ULK1	GO:0061709	reticulophagy	MyGene.info GO BP	IBA
ULK1	GO:1903059	regulation of protein lipidation	MyGene.info GO BP	IDA
JMJD1C	GO:0002317	plasma cell differentiation	MyGene.info GO BP	ISS
JMJD1C	GO:0006338	chromatin remodeling	MyGene.info GO BP	IEA
JMJD1C	GO:0006355	regulation of DNA-templated transcription	MyGene.info GO BP	TAS
JMJD1C	GO:0006357	regulation of transcription by RNA polymerase II	MyGene.info GO BP	IBA
JMJD1C	GO:0007596	blood coagulation	MyGene.info GO BP	TAS
JMJD1C	GO:0008610	lipid biosynthetic process	MyGene.info GO BP	ISS
DLGAP1	GO:0007268	chemical synaptic transmission	MyGene.info GO BP	NAS
DLGAP1	GO:0023052	signaling	MyGene.info GO BP	IEA
DLGAP1	GO:0050804	modulation of chemical synaptic transmission	MyGene.info GO BP	IBA
RNFT2	GO:1904294	positive regulation of ERAD pathway	MyGene.info GO BP	IEA
RSF1	GO:0006325	chromatin organization	MyGene.info GO BP	IDA
RSF1	GO:0006334	nucleosome assembly	MyGene.info GO BP	EXP
RSF1	GO:0006338	chromatin remodeling	MyGene.info GO BP	IDA
RSF1	GO:0006352	DNA-templated transcription initiation	MyGene.info GO BP	IDA
RSF1	GO:0006355	regulation of DNA-templated transcription	MyGene.info GO BP	IBA
