species_id	species_code	species_name	binding_affinity
1	human	人类	755.9900
1	human	人类	744.0300
1	human	人类	581.0200
1	human	人类	469.0000
1	human	人类	432.0000
1	human	人类	432.0400
1	human	人类	395.0000
1	human	人类	398.9800
1	human	人类	365.9700
1	human	人类	387.9700
1	human	人类	362.0200
1	human	人类	419.0000
1	human	人类	399.0000
1	human	人类	444.0000
1	human	人类	394.0200
1	human	人类	321.0000
1	human	人类	418.0000
1	human	人类	351.0000
1	human	人类	299.9900
1	human	人类	340.9900
1	human	人类	338.9900
1	human	人类	287.9900
1	human	人类	495.0100
1	human	人类	368.0100
1	human	人类	309.9900
1	human	人类	304.0000
1	human	人类	273.9900
1	human	人类	377.9800
1	human	人类	338.9900
1	human	人类	347.9900
1	human	人类	352.0200
1	human	人类	287.0000
1	human	人类	303.9800
1	human	人类	283.9900
1	human	人类	262.0000
1	human	人类	271.0100
1	human	人类	311.0200
1	human	人类	280.0200
1	human	人类	331.9800
1	human	人类	305.9700
1	human	人类	313.0100
1	human	人类	371.0100
1	human	人类	350.0100
1	human	人类	331.0100
1	human	人类	271.0200
1	human	人类	272.9900
1	human	人类	310.0200
1	human	人类	292.9800
1	human	人类	245.0000
1	human	人类	286.9900
1	human	人类	243.0100
1	human	人类	282.0100
1	human	人类	270.0000
1	human	人类	283.0200
1	human	人类	248.0100
1	human	人类	336.0100
1	human	人类	336.0100
1	human	人类	244.0100
1	human	人类	240.9900
1	human	人类	240.9900
1	human	人类	231.0000
1	human	人类	230.9900
1	human	人类	287.0000
1	human	人类	439.9900
1	human	人类	229.9900
1	human	人类	332.9900
1	human	人类	348.0200
1	human	人类	228.0200
1	human	人类	275.9900
1	human	人类	226.9900
1	human	人类	260.9900
1	human	人类	240.0200
1	human	人类	240.0000
1	human	人类	237.0200
1	human	人类	262.0200
1	human	人类	264.9900
1	human	人类	225.9800
1	human	人类	221.9800
1	human	人类	221.9800
1	human	人类	269.0000
1	human	人类	247.0000
1	human	人类	250.9900
1	human	人类	220.0100
1	human	人类	266.9900
1	human	人类	235.9800
1	human	人类	252.0000
1	human	人类	246.0100
1	human	人类	256.0200
1	human	人类	217.0000
1	human	人类	216.0100
1	human	人类	236.0000
1	human	人类	236.0100
1	human	人类	355.9800
1	human	人类	287.0200
1	human	人类	213.9900
1	human	人类	237.0100
1	human	人类	296.0000
1	human	人类	228.9900
1	human	人类	262.0000
1	human	人类	233.0200
1	human	人类	211.0100
1	human	人类	253.0000
1	human	人类	243.0100
1	human	人类	243.0100
1	human	人类	240.0000
1	human	人类	214.9800
1	human	人类	223.9900
1	human	人类	224.0200
1	human	人类	293.9800
1	human	人类	262.9900
1	human	人类	227.0000
1	human	人类	207.0100
1	human	人类	252.9800
1	human	人类	243.0200
1	human	人类	205.0100
1	human	人类	205.0000
