item_type	species_a	species_b	intersection_count	union_count	jaccard
node	human	human	5484	5484	1.0
node	human	chimp	4341	5484	0.791575
node	human	macaque	3917	5484	0.71426
node	human	marmoset	3506	5484	0.639314
node	chimp	human	4341	5484	0.791575
node	chimp	chimp	4341	4341	1.0
node	chimp	macaque	3726	4532	0.822154
node	chimp	marmoset	3281	4566	0.718572
node	macaque	human	3917	5484	0.71426
node	macaque	chimp	3726	4532	0.822154
node	macaque	macaque	3917	3917	1.0
node	macaque	marmoset	3021	4402	0.686279
node	marmoset	human	3506	5484	0.639314
node	marmoset	chimp	3281	4566	0.718572
node	marmoset	macaque	3021	4402	0.686279
node	marmoset	marmoset	3506	3506	1.0
edge	human	human	220853	220853	1.0
edge	human	chimp	83385	227302	0.366847
edge	human	macaque	56509	227099	0.24883
edge	human	marmoset	29769	222882	0.133564
edge	chimp	human	83385	227302	0.366847
edge	chimp	chimp	89834	89834	1.0
edge	chimp	macaque	32690	119899	0.272646
edge	chimp	marmoset	18064	103568	0.174417
edge	macaque	human	56509	227099	0.24883
edge	macaque	chimp	32690	119899	0.272646
edge	macaque	macaque	62755	62755	1.0
edge	macaque	marmoset	13147	81406	0.161499
edge	marmoset	human	29769	222882	0.133564
edge	marmoset	chimp	18064	103568	0.174417
edge	marmoset	macaque	13147	81406	0.161499
edge	marmoset	marmoset	31798	31798	1.0
