mark_name	cell_line	experiment_count	peak_count	overlapped_regulation_count	overlap_fraction	availability_status
H3K27me3	A549	0	0	0		NA
H3K27me3	GM12878	0	0	0		NA
H3K27me3	H1-hESC	1	25909	500	0.017744	observed
H3K27me3	HepG2	1	82376	503	0.01785	observed
H3K27me3	HMEC	0	0	0		NA
H3K27me3	K562	1	88069	11493	0.407857	observed
H3K4me3	A549	0	0	0		NA
H3K4me3	GM12878	0	0	0		NA
H3K4me3	H1-hESC	1	33270	1298	0.046063	observed
H3K4me3	HepG2	1	48936	1213	0.043046	observed
H3K4me3	HMEC	0	0	0		NA
H3K4me3	K562	1	52422	7898	0.28028	observed
H3K4me2	A549	0	0	0		NA
H3K4me2	GM12878	0	0	0		NA
H3K4me2	H1-hESC	0	0	0		NA
H3K4me2	HepG2	0	0	0		NA
H3K4me2	HMEC	0	0	0		NA
H3K4me2	K562	1	70379	8732	0.309876	observed
H3K4me1	A549	0	0	0		NA
H3K4me1	GM12878	0	0	0		NA
H3K4me1	H1-hESC	1	139971	914	0.032436	observed
H3K4me1	HepG2	1	138709	3494	0.123993	observed
H3K4me1	HMEC	0	0	0		NA
H3K4me1	K562	1	125713	7675	0.272366	observed
H3K27ac	A549	0	0	0		NA
H3K27ac	GM12878	0	0	0		NA
H3K27ac	H1-hESC	1	55728	674	0.023919	observed
H3K27ac	HepG2	1	44773	1415	0.050215	observed
H3K27ac	HMEC	0	0	0		NA
H3K27ac	K562	1	58937	7048	0.250115	observed
H3K36me3	A549	0	0	0		NA
H3K36me3	GM12878	1	33710	7887	0.279889	observed
H3K36me3	H1-hESC	1	35877	6028	0.213918	observed
H3K36me3	HepG2	1	41666	6625	0.235104	observed
H3K36me3	HMEC	0	0	0		NA
H3K36me3	K562	1	54277	6921	0.245608	observed
H3K9ac	A549	0	0	0		NA
H3K9ac	GM12878	0	0	0		NA
H3K9ac	H1-hESC	0	0	0		NA
H3K9ac	HepG2	0	0	0		NA
H3K9ac	HMEC	0	0	0		NA
H3K9ac	K562	1	51821	7521	0.266901	observed
H3K9me3	A549	0	0	0		NA
H3K9me3	GM12878	1	74515	6608	0.234501	observed
H3K9me3	H1-hESC	1	86122	3331	0.118209	observed
H3K9me3	HepG2	1	53227	0	0.0	observed
H3K9me3	HMEC	0	0	0		NA
H3K9me3	K562	1	43231	7032	0.249548	observed
DNase-HS	A549	0	0	0		NA
DNase-HS	GM12878	1	183953	6065	0.215231	observed
DNase-HS	H1-hESC	1	258188	9661	0.342844	observed
DNase-HS	HepG2	1	192959	8186	0.2905	observed
DNase-HS	HMEC	0	0	0		NA
DNase-HS	K562	1	202266	6892	0.244579	observed
