source	target	edge_type	weight
trait_102	lncrna_17738	trait_anchor	1.0
trait_102	lncrna_18789	trait_anchor	1.0
trait_102	lncrna_18079	trait_anchor	1.0
lncrna_17738	gene_29927	regulation	213.99
lncrna_17738	gene_31392	regulation	161.0
lncrna_17738	gene_28217	regulation	159.0
lncrna_17738	gene_24529	regulation	148.01
lncrna_17738	gene_31840	regulation	142.99
lncrna_18789	gene_30138	regulation	142.0
lncrna_17738	gene_28233	regulation	138.99
lncrna_17738	gene_18832	regulation	138.0
lncrna_18789	gene_33425	regulation	137.01
lncrna_17738	gene_32366	regulation	137.0
lncrna_18789	gene_29927	regulation	128.01
lncrna_18789	gene_32366	regulation	120.01
lncrna_18079	gene_29927	regulation	117.01
lncrna_18079	gene_33425	regulation	117.0
lncrna_17738	gene_31392	regulation	113.01
lncrna_18789	gene_33425	regulation	112.0
lncrna_18079	gene_29927	regulation	108.01
lncrna_17738	gene_32366	regulation	107.01
lncrna_17738	gene_29927	regulation	100.01
lncrna_17738	gene_33425	regulation	99.01
lncrna_18079	gene_28233	regulation	98.0
lncrna_17738	gene_29927	regulation	96.0
lncrna_18079	gene_28233	regulation	96.0
lncrna_17738	gene_29927	regulation	92.99
lncrna_18789	gene_31392	regulation	92.99
lncrna_18079	gene_28217	regulation	92.0
lncrna_18079	gene_18832	regulation	92.0
lncrna_17738	gene_33425	regulation	90.99
lncrna_17738	gene_32366	regulation	88.0
lncrna_18079	gene_28233	regulation	86.0
lncrna_18079	gene_24529	regulation	84.99
lncrna_18079	gene_31392	regulation	83.01
lncrna_17738	gene_24529	regulation	82.01
lncrna_18079	gene_28233	regulation	82.0
lncrna_17738	gene_32366	regulation	82.0
lncrna_18079	gene_29927	regulation	81.0
lncrna_18079	gene_28233	regulation	80.0
lncrna_17738	gene_31392	regulation	79.0
lncrna_17738	gene_29927	regulation	79.0
lncrna_18079	gene_28217	regulation	78.0
lncrna_18079	gene_29927	regulation	78.0
lncrna_18789	gene_32366	regulation	78.0
lncrna_18079	gene_32366	regulation	77.0
lncrna_18079	gene_33425	regulation	77.0
lncrna_17738	gene_31392	regulation	76.99
lncrna_17738	gene_29927	regulation	76.01
lncrna_18079	gene_30138	regulation	76.0
lncrna_17738	gene_29927	regulation	76.0
lncrna_18079	gene_31392	regulation	76.0
lncrna_18079	gene_31392	regulation	76.0
lncrna_18079	gene_31840	regulation	76.0
lncrna_17738	gene_29927	regulation	76.0
lncrna_18079	gene_32366	regulation	76.0
lncrna_18079	gene_28233	regulation	76.0
lncrna_18079	gene_24529	regulation	76.0
lncrna_18079	gene_29927	regulation	75.0
lncrna_18079	gene_31392	regulation	75.0
lncrna_18079	gene_28217	regulation	75.0
lncrna_18079	gene_28217	regulation	75.0
lncrna_18079	gene_31840	regulation	75.0
lncrna_18079	gene_31392	regulation	75.0
lncrna_18079	gene_33425	regulation	75.0
lncrna_18079	gene_24529	regulation	75.0
lncrna_18079	gene_32366	regulation	75.0
lncrna_17738	gene_29927	regulation	74.01
lncrna_17738	gene_28233	regulation	74.0
lncrna_18079	gene_29927	regulation	74.0
lncrna_18079	gene_32366	regulation	74.0
lncrna_18079	gene_29927	regulation	74.0
lncrna_18079	gene_28233	regulation	74.0
lncrna_18079	gene_29927	regulation	74.0
lncrna_18079	gene_32366	regulation	74.0
lncrna_17738	gene_31840	regulation	74.0
lncrna_17738	gene_31392	regulation	74.0
lncrna_17738	gene_28217	regulation	74.0
lncrna_18079	gene_31392	regulation	73.0
lncrna_18079	gene_31840	regulation	73.0
lncrna_18079	gene_29927	regulation	73.0
lncrna_17738	gene_31840	regulation	73.0
lncrna_18079	gene_32366	regulation	73.0
lncrna_18079	gene_31392	regulation	73.0
lncrna_18079	gene_31840	regulation	73.0
lncrna_18079	gene_29927	regulation	73.0
lncrna_18079	gene_31840	regulation	73.0
lncrna_18079	gene_28233	regulation	72.0
lncrna_18079	gene_24529	regulation	72.0
lncrna_18079	gene_33425	regulation	72.0
lncrna_18079	gene_32366	regulation	72.0
lncrna_17738	gene_28233	regulation	72.0
lncrna_18079	gene_29927	regulation	71.0
lncrna_18079	gene_32366	regulation	71.0
lncrna_18079	gene_33425	regulation	71.0
lncrna_18079	gene_32366	regulation	71.0
lncrna_18079	gene_33425	regulation	71.0
lncrna_18079	gene_31840	regulation	71.0
lncrna_17738	gene_28233	regulation	71.0
lncrna_18079	gene_31392	regulation	70.0
lncrna_18079	gene_29927	regulation	70.0
lncrna_18079	gene_28233	regulation	70.0
lncrna_17738	gene_28233	regulation	69.99
