trait_name	candidate_lncRNA	species	candidate_target_count	high_affinity_edges	mean_ba	max_ba	best_edge_conservation_count	rewiring_label	epigenomic_support_class	prioritization_note
obesity	CATG00000045621.1	human	870	175	74.132651	213.99	2	conserved	bivalent_like	870 targets; 175 high-affinity edges; bivalent_like context
obesity	RP5-1120P11.1	human	750	44	61.208281	142.0	4	conserved	bivalent_like	750 targets; 44 high-affinity edges; bivalent_like context
obesity	CATG00000080231.1	human	622	25	74.083266	142.99	2	conserved	bivalent_like	622 targets; 25 high-affinity edges; bivalent_like context
obesity	CATG00000065372.1	human	619	10	62.00809	114.0	2	conserved	active_like	619 targets; 10 high-affinity edges; active_like context
obesity	LINC00461	human	612	34	66.007709	130.01	4	conserved	active_like	612 targets; 34 high-affinity edges; active_like context
obesity	CATG00000105927.1	human	611	6	69.215987	115.01	3	conserved	active_like	611 targets; 6 high-affinity edges; active_like context
obesity	LINC00599	human	609	302	77.074714	130.99	4	conserved	bivalent_like	609 targets; 302 high-affinity edges; bivalent_like context
obesity	SNHG14	human	608	342	78.404173	150.99	2	conserved	bivalent_like	608 targets; 342 high-affinity edges; bivalent_like context
obesity	CATG00000083669.1	human	603	22	66.044013	154.99	2	conserved	bivalent_like	603 targets; 22 high-affinity edges; bivalent_like context
obesity	CATG00000118316.1	human	593	84	75.079096	185.01	3	conserved	bivalent_like	593 targets; 84 high-affinity edges; bivalent_like context
obesity	CATG00000025177.1	human	592	6	62.485957	111.01	4	conserved	active_like	592 targets; 6 high-affinity edges; active_like context
obesity	CTD-2536I1.1	human	589	189	76.230597	183.0	4	conserved	bivalent_like	589 targets; 189 high-affinity edges; bivalent_like context
obesity	CATG00000116275.1	human	587	9	62.823744	123.0	3	conserved	active_like	587 targets; 9 high-affinity edges; active_like context
obesity	CATG00000022353.1	human	586	64	72.696979	174.01	4	conserved	bivalent_like	586 targets; 64 high-affinity edges; bivalent_like context
obesity	LINC00966	human	582	79	70.336014	155.0	4	conserved	bivalent_like	582 targets; 79 high-affinity edges; bivalent_like context
obesity	TTLL7-IT1	human	581	77	73.655748	154.99	4	conserved	bivalent_like	581 targets; 77 high-affinity edges; bivalent_like context
obesity	CATG00000066191.1	human	580	22	62.890788	135.01	3	conserved	bivalent_like	580 targets; 22 high-affinity edges; bivalent_like context
obesity	CATG00000079979.1	human	578	92	71.057716	138.0	2	conserved	bivalent_like	578 targets; 92 high-affinity edges; bivalent_like context
obesity	CATG00000086800.1	human	574	350	90.339502	252.98	2	conserved	bivalent_like	574 targets; 350 high-affinity edges; bivalent_like context
obesity	CATG00000085848.1	human	574	37	71.691304	116.0	3	conserved	bivalent_like	574 targets; 37 high-affinity edges; bivalent_like context
obesity	CATG00000107019.1	human	570	3	60.236164	115.0	3	conserved	active_like	570 targets; 3 high-affinity edges; active_like context
obesity	CATG00000100676.1	human	569	33	70.684287	197.99	2	conserved	active_like	569 targets; 33 high-affinity edges; active_like context
obesity	RP11-672L10.2	human	567	116	73.954364	156.99	2	conserved	bivalent_like	567 targets; 116 high-affinity edges; bivalent_like context
obesity	CATG00000066030.1	human	566	75	71.799247	151.0	2	conserved	bivalent_like	566 targets; 75 high-affinity edges; bivalent_like context
obesity	CATG00000093058.1	human	564	383	84.883155	182.0	3	conserved	bivalent_like	564 targets; 383 high-affinity edges; bivalent_like context
obesity	CATG00000116207.1	human	563	158	83.628807	193.99	3	conserved	bivalent_like	563 targets; 158 high-affinity edges; bivalent_like context
obesity	CATG00000097901.1	human	562	29	65.642487	123.99	1	species_specific	bivalent_like	562 targets; 29 high-affinity edges; bivalent_like context
obesity	AC007092.1	human	557	13	65.858417	123.0	4	conserved	bivalent_like	557 targets; 13 high-affinity edges; bivalent_like context
obesity	LINC00478	human	549	24	64.325609	155.01	4	conserved	bivalent_like	549 targets; 24 high-affinity edges; bivalent_like context
obesity	CATG00000118331.1	human	544	19	62.930009	131.0	2	conserved	bivalent_like	544 targets; 19 high-affinity edges; bivalent_like context
obesity	RP11-328J6.1	human	541	6	63.432916	114.0	4	conserved	other	541 targets; 6 high-affinity edges; other context
obesity	LY86-AS1	human	538	0	59.151829	95.0	4	conserved	other	538 targets; 0 high-affinity edges; other context
obesity	CATG00000014027.1	human	523	81	69.225372	331.98	3	conserved	bivalent_like	523 targets; 81 high-affinity edges; bivalent_like context
obesity	CATG00000060867.1	human	522	12	66.272288	136.99	2	conserved	active_like	522 targets; 12 high-affinity edges; active_like context
obesity	CATG00000072010.1	human	521	211	75.285009	195.0	3	conserved	bivalent_like	521 targets; 211 high-affinity edges; bivalent_like context
obesity	RP11-243A14.1	human	521	112	74.839542	398.98	2	conserved	bivalent_like	521 targets; 112 high-affinity edges; bivalent_like context
obesity	RP11-230B22.1	human	520	73	66.752466	115.01	4	conserved	bivalent_like	520 targets; 73 high-affinity edges; bivalent_like context
obesity	CATG00000101639.1	human	514	0	61.981704	96.0	1	species_specific	other	514 targets; 0 high-affinity edges; other context
obesity	WDR11-AS1	human	510	66	65.957918	138.01	4	conserved	bivalent_like	510 targets; 66 high-affinity edges; bivalent_like context
obesity	CATG00000099405.1	human	509	16	67.943702	132.0	4	conserved	bivalent_like	509 targets; 16 high-affinity edges; bivalent_like context
obesity	SYN2	human	508	177	76.79204	349.99	4	conserved	bivalent_like	508 targets; 177 high-affinity edges; bivalent_like context
obesity	FGF14-IT1	human	505	16	70.756163	110.0	4	conserved	bivalent_like	505 targets; 16 high-affinity edges; bivalent_like context
obesity	LINC00577	human	501	35	70.864809	111.01	3	conserved	bivalent_like	501 targets; 35 high-affinity edges; bivalent_like context
obesity	CATG00000081694.1	human	499	2	61.36942	104.01	4	conserved	other	499 targets; 2 high-affinity edges; other context
obesity	CATG00000023077.1	human	497	71	71.477448	242.99	4	conserved	bivalent_like	497 targets; 71 high-affinity edges; bivalent_like context
obesity	CATG00000101757.1	human	497	0	61.73974	89.01	3	conserved	other	497 targets; 0 high-affinity edges; other context
obesity	RP11-96D1.10	human	494	16	68.608054	152.0	4	conserved	active_like	494 targets; 16 high-affinity edges; active_like context
obesity	CATG00000085917.1	human	493	46	73.423202	165.99	2	conserved	bivalent_like	493 targets; 46 high-affinity edges; bivalent_like context
obesity	RP4-597N16.4	human	487	2	63.592021	103.0	2	conserved	active_like	487 targets; 2 high-affinity edges; active_like context
obesity	CATG00000060862.1	human	486	92	70.394929	180.0	2	conserved	bivalent_like	486 targets; 92 high-affinity edges; bivalent_like context
obesity	CATG00000043868.1	human	486	25	67.041214	125.99	4	conserved	bivalent_like	486 targets; 25 high-affinity edges; bivalent_like context
obesity	CTD-2540B15.6	human	485	4	63.041624	112.0	4	conserved	other	485 targets; 4 high-affinity edges; other context
obesity	CATG00000014020.1	human	484	3	65.793561	106.0	3	conserved	other	484 targets; 3 high-affinity edges; other context
obesity	CATG00000005899.1	human	483	43	67.909052	180.99	3	conserved	bivalent_like	483 targets; 43 high-affinity edges; bivalent_like context
obesity	CATG00000116280.1	human	481	9	61.111599	133.0	4	conserved	active_like	481 targets; 9 high-affinity edges; active_like context
obesity	AC062028.1	human	479	13	64.804562	124.0	4	conserved	active_like	479 targets; 13 high-affinity edges; active_like context
obesity	RP11-445H22.3	human	478	1	56.06526	110.0	3	conserved	other	478 targets; 1 high-affinity edges; other context
