lncrna_core_id	target_core_id	lncrna_symbol	target_symbol	conservation_count	species_count	supporting_regulation_count	mean_ba	max_ba
500261617	500080854	ENSG00000261617.1	IGSF9B	2	2	2	345.49	398.98
500261617	500187664	ENSG00000261617.1	HAPLN4	2	2	2	339.005	370.99
500261617	500155093	ENSG00000261617.1	PTPRN2	2	2	3	252.01	368.01
500261617	500197653	ENSG00000261617.1	DNAH10	1	1	3	253.326667	365.97
500261617	500010282	ENSG00000261617.1	HHATL	1	1	1	351.0	351.0
500261617	500196132	ENSG00000261617.1	MYT1	2	2	2	318.485	347.99
500261617	500160161	ENSG00000261617.1	CILP2	1	1	1	338.99	338.99
500261617	500142611	ENSG00000261617.1	PRDM16	1	1	1	313.01	313.01
86800	500187664	CATG00000086800.1	HAPLN4	2	2	2	252.99	254.99
86800	500160161	CATG00000086800.1	CILP2	1	1	1	252.98	252.98
86800	500179242	CATG00000086800.1	CDH4	1	1	1	231.99	231.99
86800	500168952	CATG00000086800.1	STXBP6	1	1	1	231.01	231.01
86800	500154316	CATG00000086800.1	TDH	1	1	1	222.0	222.0
86800	71563	CATG00000086800.1	CATG00000071563.1	1	1	1	220.01	220.01
