lncrna_core_id	target_core_id	lncrna_symbol	target_symbol	human	chimp	macaque	marmoset	conservation_label	conservation_count	supporting_regulation_count	mean_ba	max_ba
11	26842	CATG00000000011.1	CATG00000026842.1	1	0	0	0	1000	1	1	68.0	68.0
11	60194	CATG00000000011.1	CATG00000060194.1	1	0	0	0	1000	1	1	57.0	57.0
11	88075	CATG00000000011.1	CATG00000088075.1	1	0	0	0	1000	1	1	59.0	59.0
11	500081052	CATG00000000011.1	COL4A4	1	1	0	0	1100	2	2	61.0	69.0
11	500119397	CATG00000000011.1	CNTRL	1	1	0	0	1100	2	5	59.602	80.01
11	500136573	CATG00000000011.1	BLK	1	1	0	0	1100	2	2	57.5	58.0
11	500144468	CATG00000000011.1	RHBDD1	1	1	0	0	1100	2	2	58.5	64.0
11	500170476	CATG00000000011.1	MZB1	1	1	0	0	1100	2	2	55.5	57.0
11	500173585	CATG00000000011.1	CCR9	1	1	0	0	1100	2	3	56.666667	58.0
11	500179344	CATG00000000011.1	HLA-DQB1	1	0	0	0	1000	1	2	60.0	62.0
11	500196126	CATG00000000011.1	HLA-DRB1	1	0	0	0	1000	1	2	58.5	62.0
11	500196301	CATG00000000011.1	HLA-DRB9	1	0	0	0	1000	1	2	57.0	59.0
11	500196735	CATG00000000011.1	HLA-DQA1	1	1	0	0	1100	2	2	56.0	59.0
11	500198502	CATG00000000011.1	HLA-DRB5	1	0	0	0	1000	1	4	58.0	60.0
11	500204287	CATG00000000011.1	HLA-DRA	1	0	0	0	1000	1	1	55.0	55.0
11	500229391	CATG00000000011.1	HLA-DRB6	1	0	0	0	1000	1	2	59.0	60.0
34	14806	CATG00000000034.1	CATG00000014806.1	1	0	0	0	1000	1	1	72.0	72.0
34	33595	CATG00000000034.1	CATG00000033595.1	1	0	0	0	1000	1	1	54.0	54.0
34	57419	CATG00000000034.1	CATG00000057419.1	1	0	0	0	1000	1	1	54.0	54.0
34	57844	CATG00000000034.1	CATG00000057844.1	1	0	0	0	1000	1	1	51.0	51.0
34	66491	CATG00000000034.1	CATG00000066491.1	1	0	0	0	1000	1	1	68.0	68.0
34	73317	CATG00000000034.1	CATG00000073317.1	1	0	0	0	1000	1	1	55.0	55.0
34	500013810	CATG00000000034.1	TACC3	1	0	0	0	1000	1	1	63.01	63.01
34	500020633	CATG00000000034.1	RUNX3	1	0	0	0	1000	1	1	55.0	55.0
34	500025293	CATG00000000034.1	PHF20	1	0	0	0	1000	1	1	58.0	58.0
34	500026297	CATG00000000034.1	RNASET2	1	0	0	0	1000	1	1	84.0	84.0
34	500054967	CATG00000000034.1	RELT	1	1	0	0	1100	2	2	55.5	56.0
34	500054983	CATG00000000034.1	GALC	1	0	0	0	1000	1	1	59.0	59.0
34	500056558	CATG00000000034.1	TRAF1	1	0	0	0	1000	1	1	57.0	57.0
34	500057657	CATG00000000034.1	PRDM1	1	1	0	0	1100	2	2	53.0	53.0
34	500065135	CATG00000000034.1	GNAI3	1	0	0	0	1000	1	2	56.5	61.0
34	500070759	CATG00000000034.1	TESK2	0	1	0	0	0100	1	1	62.0	62.0
34	500080815	CATG00000000034.1	PSEN1	1	0	0	0	1000	1	1	51.0	51.0
34	500085117	CATG00000000034.1	CD82	1	0	0	0	1000	1	1	53.0	53.0
34	500086062	CATG00000000034.1	B4GALT1	1	0	0	0	1000	1	1	55.0	55.0
34	500088053	CATG00000000034.1	GP6	1	1	0	0	1100	2	2	68.495	69.99
34	500089639	CATG00000000034.1	GMIP	1	0	0	0	1000	1	1	69.99	69.99
34	500095015	CATG00000000034.1	MAP3K1	1	0	0	0	1000	1	1	69.0	69.0
34	500095794	CATG00000000034.1	CREM	1	1	0	0	1100	2	3	53.333333	58.0
34	500100221	CATG00000000034.1	JOSD1	1	0	0	0	1000	1	1	54.0	54.0
34	500100226	CATG00000000034.1	GTPBP1	1	0	0	0	1000	1	1	64.0	64.0
34	500100266	CATG00000000034.1	PACSIN2	1	0	0	0	1000	1	1	61.0	61.0
34	500100393	CATG00000000034.1	EP300	1	0	0	0	1000	1	1	54.0	54.0
34	500100612	CATG00000000034.1	DHRS7	1	1	0	0	1100	2	2	73.5	84.0
34	500101162	CATG00000000034.1	TUBB1	1	0	0	0	1000	1	1	61.0	61.0
34	500102921	CATG00000000034.1	N4BP1	0	1	0	0	0100	1	1	56.0	56.0
34	500104093	CATG00000000034.1	DMXL2	1	1	0	0	1100	2	2	58.505	63.01
34	500105483	CATG00000000034.1	CARD8	1	0	0	0	1000	1	1	56.0	56.0
34	500107736	CATG00000000034.1	CDH23	1	1	0	0	1100	2	4	53.75	57.0
34	500110848	CATG00000000034.1	CD69	1	0	0	0	1000	1	1	55.0	55.0
34	500111679	CATG00000000034.1	PTPN6	1	1	0	0	1100	2	2	57.0	58.0
34	500115548	CATG00000000034.1	KDM3A	1	1	0	0	1100	2	2	59.0	63.0
34	500115604	CATG00000000034.1	IL18R1	1	0	0	0	1000	1	1	64.0	64.0
34	500115956	CATG00000000034.1	PLEK	1	0	0	0	1000	1	1	52.0	52.0
34	500116337	CATG00000000034.1	AMPD2	1	0	0	0	1000	1	1	51.0	51.0
34	500116701	CATG00000000034.1	NCF2	1	0	0	0	1000	1	1	53.0	53.0
34	500116852	CATG00000000034.1	KIF21B	1	0	0	0	1000	1	1	63.0	63.0
34	500117115	CATG00000000034.1	PADI2	1	1	0	0	1100	2	2	69.995	84.99
34	500120063	CATG00000000034.1	GNA13	1	1	0	0	1100	2	2	60.495	69.99
34	500120690	CATG00000000034.1	ELF1	1	0	0	0	1000	1	1	55.0	55.0
34	500125347	CATG00000000034.1	IRF1	1	1	0	0	1100	2	2	60.0	69.0
34	500125753	CATG00000000034.1	VASP	1	1	0	0	1100	2	2	51.5	53.0
34	500126804	CATG00000000034.1	ZBTB1	1	1	0	0	1100	2	2	60.5	62.0
34	500128512	CATG00000000034.1	DOCK4	1	0	0	0	1000	1	3	55.0	58.0
34	500130775	CATG00000000034.1	THEMIS2	1	0	0	0	1000	1	1	54.0	54.0
34	500131323	CATG00000000034.1	TRAF3	1	0	0	0	1000	1	2	57.5	62.0
34	500131355	CATG00000000034.1	EMR3	1	0	0	0	1000	1	1	65.0	65.0
34	500132359	CATG00000000034.1	RAP1GAP2	1	1	0	0	1100	2	2	67.0	69.0
34	500134183	CATG00000000034.1	GNAT2	1	0	0	0	1000	1	1	66.0	66.0
34	500134215	CATG00000000034.1	VAV3	1	0	0	0	1000	1	3	55.333333	62.0
34	500134996	CATG00000000034.1	OSTF1	1	1	0	0	1100	2	2	55.5	58.0
34	500135114	CATG00000000034.1	OASL	1	1	0	0	1100	2	2	54.5	58.0
34	500135655	CATG00000000034.1	USP15	1	0	0	0	1000	1	1	54.0	54.0
34	500136371	CATG00000000034.1	MTHFS	1	1	0	0	1100	2	2	54.5	55.0
34	500136560	CATG00000000034.1	TANK	1	0	0	0	1000	1	1	54.0	54.0
34	500137161	CATG00000000034.1	CNPY3	1	1	0	0	1100	2	2	52.5	53.0
34	500138185	CATG00000000034.1	ENTPD1	0	1	0	0	0100	1	1	65.01	65.01
34	500138463	CATG00000000034.1	DIRC2	1	0	0	0	1000	1	1	54.0	54.0
34	500138688	CATG00000000034.1	KIAA1109	1	0	0	0	1000	1	1	63.0	63.0
34	500140678	CATG00000000034.1	ITGAX	1	0	0	0	1000	1	1	52.0	52.0
34	500144655	CATG00000000034.1	CSRNP1	1	0	0	0	1000	1	1	77.0	77.0
34	500145901	CATG00000000034.1	TNIP1	1	0	0	0	1000	1	1	56.0	56.0
34	500146278	CATG00000000034.1	PNRC1	1	1	0	0	1100	2	2	53.5	57.0
34	500150045	CATG00000000034.1	KLRF1	1	0	0	0	1000	1	1	55.0	55.0
34	500150054	CATG00000000034.1	MPP7	1	0	0	0	1000	1	2	60.0	63.0
34	500151466	CATG00000000034.1	SCLT1	1	0	0	0	1000	1	1	63.0	63.0
34	500151726	CATG00000000034.1	ACSL1	1	1	0	0	1100	2	3	53.666667	56.0
34	500152213	CATG00000000034.1	ARL11	1	0	0	0	1000	1	1	63.0	63.0
34	500152926	CATG00000000034.1	ZNF117	1	0	0	0	1000	1	1	73.0	73.0
34	500157106	CATG00000000034.1	SMG1	1	0	0	0	1000	1	1	58.0	58.0
34	500160712	CATG00000000034.1	IL6R	1	0	0	0	1000	1	1	52.0	52.0
34	500162444	CATG00000000034.1	RBP7	1	1	0	0	1100	2	2	55.0	56.0
34	500162594	CATG00000000034.1	IL23R	1	1	0	0	1100	2	3	56.666667	64.0
34	500162923	CATG00000000034.1	WDR26	1	0	0	0	1000	1	1	81.0	81.0
34	500163131	CATG00000000034.1	CTSS	1	0	0	0	1000	1	1	53.0	53.0
34	500163563	CATG00000000034.1	MNDA	1	0	0	0	1000	1	1	58.0	58.0
34	500163568	CATG00000000034.1	AIM2	1	1	0	0	1100	2	3	53.333333	56.0
34	500165006	CATG00000000034.1	UBAP1	1	1	0	0	1100	2	2	57.0	58.0
34	500167207	CATG00000000034.1	NOD2	1	0	0	0	1000	1	1	62.0	62.0
34	500168004	CATG00000000034.1	HRASLS5	1	1	0	0	1100	2	2	58.5	67.0
34	500168066	CATG00000000034.1	SF1	1	1	0	0	1100	2	2	69.0	69.0
34	500168152	CATG00000000034.1	THAP9	1	0	0	0	1000	1	1	66.0	66.0
34	500168461	CATG00000000034.1	RAB31	1	0	0	0	1000	1	2	61.5	63.0
34	500168610	CATG00000000034.1	STAT3	1	0	0	0	1000	1	1	81.0	81.0
34	500169087	CATG00000000034.1	HSPBAP1	1	0	0	0	1000	1	1	64.0	64.0
34	500169967	CATG00000000034.1	MAP3K2	1	0	0	0	1000	1	1	60.0	60.0
34	500169994	CATG00000000034.1	MYO7B	1	0	0	0	1000	1	2	53.0	53.0
34	500171049	CATG00000000034.1	FPR2	1	0	0	0	1000	1	1	56.0	56.0
34	500171316	CATG00000000034.1	CHD7	1	1	0	0	1100	2	2	57.0	60.0
34	500173626	CATG00000000034.1	TRAPPC3L	1	0	0	0	1000	1	1	52.0	52.0
34	500174125	CATG00000000034.1	TLR1	1	0	0	0	1000	1	1	55.0	55.0
34	500174130	CATG00000000034.1	TLR6	1	0	0	0	1000	1	1	55.0	55.0
34	500175471	CATG00000000034.1	MCTP1	1	0	0	0	1000	1	3	59.0	63.0
34	500175894	CATG00000000034.1	TSPEAR	1	0	0	0	1000	1	3	63.666667	72.0
34	500176788	CATG00000000034.1	BASP1	1	1	0	0	1100	2	2	52.0	53.0
34	500179094	CATG00000000034.1	PER1	1	0	0	0	1000	1	1	57.0	57.0
34	500179454	CATG00000000034.1	KLHL28	1	0	0	0	1000	1	2	53.5	55.0
34	500180353	CATG00000000034.1	HCLS1	1	0	0	0	1000	1	1	59.0	59.0
34	500181472	CATG00000000034.1	ZBTB2	1	1	0	0	1100	2	2	53.5	55.0
34	500182831	CATG00000000034.1	C16orf72	1	0	0	0	1000	1	1	75.0	75.0
34	500183625	CATG00000000034.1	CCR3	1	0	0	0	1000	1	2	56.5	59.0
34	500184730	CATG00000000034.1	APOBR	1	0	0	0	1000	1	1	54.0	54.0
34	500185811	CATG00000000034.1	IKZF1	1	1	0	0	1100	2	3	58.333333	66.0
34	500186517	CATG00000000034.1	ARHGAP30	1	0	0	0	1000	1	1	77.0	77.0
34	500188906	CATG00000000034.1	LRRK2	1	0	0	0	1000	1	1	55.0	55.0
34	500189308	CATG00000000034.1	LIN54	1	0	0	0	1000	1	1	52.0	52.0
34	500196301	CATG00000000034.1	HLA-DRB9	1	0	0	0	1000	1	1	51.0	51.0
34	500196428	CATG00000000034.1	TSC22D2	1	0	0	0	1000	1	1	68.0	68.0
34	500196812	CATG00000000034.1	ZSCAN16	1	0	0	0	1000	1	1	54.0	54.0
34	500196954	CATG00000000034.1	CASP4	1	0	0	0	1000	1	1	51.0	51.0
34	500197217	CATG00000000034.1	ENTPD4	1	1	0	0	1100	2	2	51.0	51.0
34	500197442	CATG00000000034.1	MAP3K5	1	1	0	0	1100	2	2	71.0	71.0
34	500197536	CATG00000000034.1	C5orf56	1	0	0	0	1000	1	1	62.0	62.0
34	500198604	CATG00000000034.1	BAZ1A	1	0	0	0	1000	1	1	54.0	54.0
34	500198673	CATG00000000034.1	FAM19A2	1	0	0	0	1000	1	1	54.0	54.0
34	500204424	CATG00000000034.1	LY6G6F	1	0	0	0	1000	1	1	52.0	52.0
34	500205716	CATG00000000034.1	AC007248.6	1	0	0	0	1000	1	1	57.0	57.0
34	500206503	CATG00000000034.1	HLA-A	1	1	0	0	1100	2	6	57.333333	72.0
34	500213462	CATG00000000034.1	ERV3-1	1	0	0	0	1000	1	1	54.0	54.0
34	500213654	CATG00000000034.1	GPSM3	0	1	0	0	0100	1	1	59.0	59.0
34	500221160	CATG00000000034.1	MIR1281	1	0	0	0	1000	1	1	54.0	54.0
34	500241839	CATG00000000034.1	PLEKHO2	1	1	0	0	1100	2	3	55.666667	58.0
34	500249141	CATG00000000034.1	RP11-514O12.4	1	0	0	0	1000	1	1	55.0	55.0
34	500249240	CATG00000000034.1	AC069368.3	1	0	0	0	1000	1	1	58.0	58.0
34	500252068	CATG00000000034.1	RNU6-390P	1	0	0	0	1000	1	1	51.0	51.0
34	500259202	CATG00000000034.1	RP11-342M21.2	1	0	0	0	1000	1	1	52.0	52.0
34	500259332	CATG00000000034.1	ST20-MTHFS	1	0	0	0	1000	1	1	63.0	63.0
34	500263575	CATG00000000034.1	MIR4665	1	0	0	0	1000	1	1	67.0	67.0
34	500267319	CATG00000000034.1	CTD-2528L19.3	1	0	0	0	1000	1	1	55.0	55.0
72	30349	CATG00000000072.1	CATG00000030349.1	1	0	0	0	1000	1	1	56.0	56.0
72	84841	CATG00000000072.1	CATG00000084841.1	1	0	0	0	1000	1	1	72.0	72.0
72	88075	CATG00000000072.1	CATG00000088075.1	1	0	0	0	1000	1	1	60.0	60.0
72	500026297	CATG00000000072.1	RNASET2	1	1	0	0	1100	2	2	62.5	70.0
72	500100453	CATG00000000072.1	GZMB	1	1	0	0	1100	2	3	59.333333	60.0
72	500112182	CATG00000000072.1	BACH2	1	0	0	0	1000	1	5	59.4	67.0
72	500112486	CATG00000000072.1	CCR6	1	0	0	0	1000	1	1	62.0	62.0
