trait_name	lncrna_gene_id	lncrna_name	display_label	target_count	mean_ba
obesity	18785	RP11-356I2.4	RP11-356I2.4	37	64.683049
obesity	17722	CATG00000043927.1	CATG043927	68	68.2299
obesity	18234	CATG00000090178.1	CATG090178	33	69.840435
obesity	18044	CATG00000077557.1	CATG077557	85	73.71671
obesity	17642	CATG00000035185.1	CATG035185	80	81.219412
obesity	18163	CATG00000086150.1	CATG086150	33	79.672931
obesity	17569	CATG00000027119.1	CATG027119	53	71.868367
obesity	18401	CATG00000106964.1	CATG106964	60	66.258427
obesity	18233	CATG00000090176.1	CATG090176	32	109.257424
obesity	18207	CATG00000088071.1	CATG088071	50	61.48241
obesity	18203	CATG00000088064.1	CATG088064	52	62.088824
obesity	18162	CATG00000086148.1	CATG086148	30	63.355333
Abnormality of the nervous system	18785	RP11-356I2.4	RP11-356I2.4	17	66.864865
Abnormality of the nervous system	17722	CATG00000043927.1	CATG043927	20	68.0
Abnormality of the nervous system	18234	CATG00000090178.1	CATG090178	17	70.5
Abnormality of the nervous system	18044	CATG00000077557.1	CATG077557	22	85.091364
Abnormality of the nervous system	17642	CATG00000035185.1	CATG035185	27	80.482069
Abnormality of the nervous system	18163	CATG00000086150.1	CATG086150	17	71.182424
Abnormality of the nervous system	17569	CATG00000027119.1	CATG027119	15	66.396458
Abnormality of the nervous system	18401	CATG00000106964.1	CATG106964	18	69.772273
Abnormality of the nervous system	18233	CATG00000090176.1	CATG090176	16	95.142857
Abnormality of the nervous system	18207	CATG00000088071.1	CATG088071	17	60.214643
Abnormality of the nervous system	18203	CATG00000088064.1	CATG088064	23	58.45973
Abnormality of the nervous system	18162	CATG00000086148.1	CATG086148	16	61.792083
Rheumatoid arthritis	18785	RP11-356I2.4	RP11-356I2.4	363	66.670556
Rheumatoid arthritis	17722	CATG00000043927.1	CATG043927	318	68.098191
Rheumatoid arthritis	18234	CATG00000090178.1	CATG090178	336	71.616991
Rheumatoid arthritis	18044	CATG00000077557.1	CATG077557	206	73.894453
Rheumatoid arthritis	17642	CATG00000035185.1	CATG035185	309	79.674229
Rheumatoid arthritis	18163	CATG00000086150.1	CATG086150	323	77.695096
Rheumatoid arthritis	17569	CATG00000027119.1	CATG027119	189	69.40824
Rheumatoid arthritis	18401	CATG00000106964.1	CATG106964	302	66.72134
Rheumatoid arthritis	18233	CATG00000090176.1	CATG090176	304	111.815693
Rheumatoid arthritis	18207	CATG00000088071.1	CATG088071	278	60.156147
Rheumatoid arthritis	18203	CATG00000088064.1	CATG088064	293	59.510261
Rheumatoid arthritis	18162	CATG00000086148.1	CATG086148	283	60.671864
Arteriosclerosis	18785	RP11-356I2.4	RP11-356I2.4	374	66.86442
Arteriosclerosis	17722	CATG00000043927.1	CATG043927	312	68.460433
Arteriosclerosis	18234	CATG00000090178.1	CATG090178	312	71.748558
Arteriosclerosis	18044	CATG00000077557.1	CATG077557	334	76.19468
Arteriosclerosis	17642	CATG00000035185.1	CATG035185	290	80.61685
Arteriosclerosis	18163	CATG00000086150.1	CATG086150	301	76.536667
Arteriosclerosis	17569	CATG00000027119.1	CATG027119	334	70.659413
Arteriosclerosis	18401	CATG00000106964.1	CATG106964	286	66.515581
Arteriosclerosis	18233	CATG00000090176.1	CATG090176	293	111.749264
Arteriosclerosis	18207	CATG00000088071.1	CATG088071	292	60.106332
Arteriosclerosis	18203	CATG00000088064.1	CATG088064	274	59.638675
Arteriosclerosis	18162	CATG00000086148.1	CATG086148	286	61.418184
Glomerulosclerosis	18785	RP11-356I2.4	RP11-356I2.4	371	66.894382
Glomerulosclerosis	17722	CATG00000043927.1	CATG043927	310	68.480716
Glomerulosclerosis	18234	CATG00000090178.1	CATG090178	311	71.804906
Glomerulosclerosis	18044	CATG00000077557.1	CATG077557	332	76.391946
Glomerulosclerosis	17642	CATG00000035185.1	CATG035185	289	80.63591
Glomerulosclerosis	18163	CATG00000086150.1	CATG086150	300	76.662741
Glomerulosclerosis	17569	CATG00000027119.1	CATG027119	332	70.775505
Glomerulosclerosis	18401	CATG00000106964.1	CATG106964	285	66.550172
Glomerulosclerosis	18233	CATG00000090176.1	CATG090176	291	112.121675
Glomerulosclerosis	18207	CATG00000088071.1	CATG088071	291	60.133869
Glomerulosclerosis	18203	CATG00000088064.1	CATG088064	273	59.648606
Glomerulosclerosis	18162	CATG00000086148.1	CATG086148	284	61.525102
Sclerosis of metaphyses of the upper limbs	18785	RP11-356I2.4	RP11-356I2.4	371	66.894382
Sclerosis of metaphyses of the upper limbs	17722	CATG00000043927.1	CATG043927	310	68.480716
Sclerosis of metaphyses of the upper limbs	18234	CATG00000090178.1	CATG090178	311	71.804906
Sclerosis of metaphyses of the upper limbs	18044	CATG00000077557.1	CATG077557	332	76.391946
Sclerosis of metaphyses of the upper limbs	17642	CATG00000035185.1	CATG035185	289	80.63591
Sclerosis of metaphyses of the upper limbs	18163	CATG00000086150.1	CATG086150	300	76.662741
Sclerosis of metaphyses of the upper limbs	17569	CATG00000027119.1	CATG027119	332	70.775505
Sclerosis of metaphyses of the upper limbs	18401	CATG00000106964.1	CATG106964	285	66.550172
Sclerosis of metaphyses of the upper limbs	18233	CATG00000090176.1	CATG090176	291	112.121675
Sclerosis of metaphyses of the upper limbs	18207	CATG00000088071.1	CATG088071	291	60.133869
Sclerosis of metaphyses of the upper limbs	18203	CATG00000088064.1	CATG088064	273	59.648606
Sclerosis of metaphyses of the upper limbs	18162	CATG00000086148.1	CATG086148	284	61.525102
