regulation_id	cell_line	lncrna_gene_id	lncrna_core_id	lncrna_name	target_gene_id	target_core_id	target_gene_name	binding_affinity	mark_signature	mark_count	context_class	target_chromosome	target_start	target_end
804941	H1-hESC	17702	42135	CATG00000042135.1	19175	500268518	CTD-2545M3.8	755.99	H3K27ac | H3K4me1 | H3K4me3	3	active_like_non_bivalent	chr19	50989288	51008649
804941	K562	17702	42135	CATG00000042135.1	19175	500268518	CTD-2545M3.8	755.99	H3K4me1	1	active_like_non_bivalent	chr19	50989288	51008649
804963	K562	19101	500261617	RP11-243A14.1	27047	500116852	KIF21B	495.01	H3K36me3 | H3K4me1	2	active_like_non_bivalent	chr1	200936920	200996303
804944	HepG2	17434	16645	CATG00000016645.1	17434	16645	CATG00000016645.1	469.0	H3K4me1	1	active_like_non_bivalent	chr13	30132276	30137275
804944	K562	17434	16645	CATG00000016645.1	17434	16645	CATG00000016645.1	469.0	H3K36me3 | H3K4me1	2	active_like_non_bivalent	chr13	30132276	30137275
804954	HepG2	17501	22775	CATG00000022775.1	30142	500160179	ABCG1	444.0	H3K4me1 | H3K4me3	2	active_like_non_bivalent	chr21	43616300	43721815
814266	H1-hESC	18417	109197	CATG00000109197.1	26102	500105963	ADAP1	423.03	H3K27ac | H3K36me3 | H3K4me1	3	active_like_non_bivalent	chr7	930669	998525
814266	HepG2	18417	109197	CATG00000109197.1	26102	500105963	ADAP1	423.03	H3K27ac | H3K36me3 | H3K4me1 | H3K4me3	4	active_like_non_bivalent	chr7	930669	998525
805662	HepG2	19101	500261617	RP11-243A14.1	32819	500187664	HAPLN4	370.99	H3K27ac | H3K4me1 | H3K4me3	3	active_like_non_bivalent	chr19	19370875	19377113
804949	K562	19101	500261617	RP11-243A14.1	33218	500197653	DNAH10	365.97	H3K27ac | H3K36me3	2	active_like_non_bivalent	chr12	123991982	123996981
804971	HepG2	17625	32626	CATG00000032626.1	27204	500118985	ELL2	352.02	H3K27ac | H3K36me3 | H3K4me1	3	active_like_non_bivalent	chr5	95197709	95301050
804971	K562	17625	32626	CATG00000032626.1	27204	500118985	ELL2	352.02	H3K27ac | H3K36me3 | H3K4me1 | H3K4me2 | H3K4me3 | H3K9ac | H3K9me3	7	active_like_non_bivalent	chr5	95197709	95301050
804958	HepG2	19101	500261617	RP11-243A14.1	24273	500010282	HHATL	351.0	H3K4me1	1	active_like_non_bivalent	chr3	42734241	42758280
817255	H1-hESC	17835	56036	CATG00000056036.1	31294	500169762	TAPT1	347.01	DNase-HS | H3K4me3	2	active_like_non_bivalent	chr4	16166837	16232779
817255	HepG2	17835	56036	CATG00000056036.1	31294	500169762	TAPT1	347.01	DNase-HS | H3K36me3 | H3K4me1 | H3K4me3	4	active_like_non_bivalent	chr4	16166837	16232779
817255	K562	17835	56036	CATG00000056036.1	31294	500169762	TAPT1	347.01	DNase-HS | H3K27ac | H3K36me3 | H3K4me2 | H3K4me3 | H3K9ac	6	active_like_non_bivalent	chr4	16166837	16232779
804960	K562	17625	32626	CATG00000032626.1	29996	500157933	SKI	340.99	DNase-HS | H3K27ac | H3K36me3 | H3K4me1 | H3K4me2 | H3K4me3	6	active_like_non_bivalent	chr1	2155973	2249736
804961	HepG2	18417	109197	CATG00000109197.1	27488	500124126	PREX1	338.99	H3K4me1	1	active_like_non_bivalent	chr20	47236091	47530450
804981	HepG2	19101	500261617	RP11-243A14.1	28918	500142611	PRDM16	313.01	H3K27ac | H3K4me1	2	active_like_non_bivalent	chr1	3331306	3342978
804966	H1-hESC	17546	25559	CATG00000025559.1	19175	500268518	CTD-2545M3.8	304.0	H3K27ac | H3K4me1 | H3K4me3	3	active_like_non_bivalent	chr19	50989288	51008649
804966	K562	17546	25559	CATG00000025559.1	19175	500268518	CTD-2545M3.8	304.0	H3K4me1	1	active_like_non_bivalent	chr19	50989288	51008649
814673	K562	17835	56036	CATG00000056036.1	26227	500107263	RAPGEF1	303.0	DNase-HS | H3K27ac | H3K36me3 | H3K4me1 | H3K4me2 | H3K4me3 | H3K9ac | H3K9me3	8	active_like_non_bivalent	chr9	134463861	134618963
804959	HepG2	17429	16469	CATG00000016469.1	25563	500100095	SEZ6L	299.99	H3K4me1	1	active_like_non_bivalent	chr22	26740317	26745316
804962	HepG2	17433	16522	CATG00000016522.1	32819	500187664	HAPLN4	287.99	DNase-HS | H3K27ac | H3K4me1 | H3K4me3	4	active_like_non_bivalent	chr19	19370875	19377113
813300	HepG2	17324	5468	CATG00000005468.1	31127	500168264	IRF2BP2	286.0	DNase-HS | H3K4me1	2	active_like_non_bivalent	chr1	234734304	234752892
814557	HepG2	17324	5468	CATG00000005468.1	18635	500228830	RP4-781K5.2	286.0	DNase-HS | H3K4me1	2	active_like_non_bivalent	chr1	234732545	234753888
813300	K562	17324	5468	CATG00000005468.1	31127	500168264	IRF2BP2	286.0	DNase-HS | H3K27ac | H3K4me1 | H3K4me2 | H3K4me3 | H3K9ac	6	active_like_non_bivalent	chr1	234734304	234752892
814557	K562	17324	5468	CATG00000005468.1	18635	500228830	RP4-781K5.2	286.0	DNase-HS | H3K27ac | H3K4me1 | H3K4me2 | H3K4me3 | H3K9ac	6	active_like_non_bivalent	chr1	234732545	234753888
810336	H1-hESC	18758	500235919	ASH1L-AS1	17642	35185	CATG00000035185.1	279.0	DNase-HS | H3K27ac | H3K4me3	3	active_like_non_bivalent	chr18	12880451	12885924
810336	HepG2	18758	500235919	ASH1L-AS1	17642	35185	CATG00000035185.1	279.0	DNase-HS | H3K27ac | H3K36me3 | H3K4me3	4	active_like_non_bivalent	chr18	12880451	12885924
810336	K562	18758	500235919	ASH1L-AS1	17642	35185	CATG00000035185.1	279.0	DNase-HS | H3K27ac | H3K36me3 | H3K4me1 | H3K4me2 | H3K4me3 | H3K9ac	7	active_like_non_bivalent	chr18	12880451	12885924
