lncrna_core_id	target_core_id	lncrna_symbol	lncrna_human_ensembl_id	target_symbol	human	chimp	macaque	marmoset	conservation_label	conservation_count	species_count	supporting_regulation_count	mean_ba	max_ba
72	500114861	CATG00000000072.1	CATG00000000072.1	FOXP1	1	0	0	0	1000	1	1	1	106.99	106.99
183	500058335	CATG00000000183.1	CATG00000000183.1	RASGRF1	1	0	0	0	1000	1	1	1	348.02	348.02
183	500104450	CATG00000000183.1	CATG00000000183.1	SPAG1	1	0	0	0	1000	1	1	1	104.0	104.0
183	500111783	CATG00000000183.1	CATG00000000183.1	RFX4	1	0	0	0	1000	1	1	1	129.01	129.01
183	500124772	CATG00000000183.1	CATG00000000183.1	CPNE5	1	0	0	0	1000	1	1	1	155.0	155.0
183	500149633	CATG00000000183.1	CATG00000000183.1	KIAA1755	1	0	0	0	1000	1	1	1	105.99	105.99
183	500152582	CATG00000000183.1	CATG00000000183.1	SPEF2	1	0	0	0	1000	1	1	1	102.99	102.99
183	500158258	CATG00000000183.1	CATG00000000183.1	CLSTN2	1	0	0	0	1000	1	1	2	115.005	127.0
183	500165424	CATG00000000183.1	CATG00000000183.1	ZCCHC24	1	0	0	0	1000	1	1	1	248.99	248.99
183	500169744	CATG00000000183.1	CATG00000000183.1	LDB2	1	0	0	0	1000	1	1	2	128.5	134.0
183	500178568	CATG00000000183.1	CATG00000000183.1	ERBB4	1	0	0	0	1000	1	1	1	135.0	135.0
183	500183049	CATG00000000183.1	CATG00000000183.1	CAMK1D	1	0	0	0	1000	1	1	1	103.0	103.0
183	500184792	CATG00000000183.1	CATG00000000183.1	OSBP2	1	0	0	0	1000	1	1	1	183.99	183.99
183	500198915	CATG00000000183.1	CATG00000000183.1	RASGEF1A	1	0	0	0	1000	1	1	1	336.01	336.01
523	500185811	CATG00000000523.1	CATG00000000523.1	IKZF1	1	0	0	0	1000	1	1	1	113.0	113.0
858	500125753	CATG00000000858.1	CATG00000000858.1	VASP	0	0	0	1	0001	1	1	1	113.09	113.09
944	1384	CATG00000000944.1	CATG00000000944.1	CATG00000001384.1	1	0	0	0	1000	1	1	1	131.0	131.0
944	4376	CATG00000000944.1	CATG00000000944.1	CATG00000004376.1	1	0	0	0	1000	1	1	1	134.0	134.0
944	16250	CATG00000000944.1	CATG00000000944.1	CATG00000016250.1	1	0	0	0	1000	1	1	1	186.99	186.99
944	27863	CATG00000000944.1	CATG00000000944.1	CATG00000027863.1	1	0	0	0	1000	1	1	1	182.0	182.0
