lncrna_gene_id	lncrna_name	trait_count	target_count	high_affinity_edge_count	mean_ba	max_ba	best_edge_conservation_count	rewiring_label	epigenomic_support_class	flagship_membership
18785	RP11-356I2.4	6	1533	24	66.478609	126.01	4	conserved	active_like	False
17722	CATG00000043927.1	6	1338	18	68.291659	113.0	4	conserved	active_like	False
18234	CATG00000090178.1	6	1320	3	71.219299	104.01	3	conserved	bivalent_like	False
18044	CATG00000077557.1	6	1311	209	76.94685	123.0	2	conserved	bivalent_like	False
17642	CATG00000035185.1	6	1284	347	80.544063	233.99	3	conserved	bivalent_like	False
18163	CATG00000086150.1	6	1274	128	76.4021	158.01	3	conserved	bivalent_like	False
17569	CATG00000027119.1	6	1255	69	69.980581	186.01	4	conserved	bivalent_like	False
18401	CATG00000106964.1	6	1236	6	67.061328	133.0	3	conserved	active_like	False
18233	CATG00000090176.1	6	1227	856	108.701431	223.01	3	conserved	bivalent_like	False
18207	CATG00000088071.1	6	1219	0	60.371212	94.01	2	conserved	other	False
18203	CATG00000088064.1	6	1188	0	59.83245	91.0	3	conserved	other	False
18162	CATG00000086148.1	6	1183	12	61.714611	109.01	3	conserved	active_like	False
18135	CATG00000083580.1	6	1175	61	75.588709	172.0	3	conserved	bivalent_like	False
17951	CATG00000066791.1	6	1167	7	63.184562	106.0	2	conserved	active_like	False
18714	RP4-655J12.4	6	1150	7	62.449627	102.99	4	conserved	active_like	False
19222	XXbac-BPG299F13.17	6	1105	14	64.343861	125.01	3	conserved	active_like	False
18789	RP5-1120P11.1	6	1097	69	62.49874	142.0	4	conserved	bivalent_like	True
18120	CATG00000083445.1	6	1070	59	72.085627	115.0	2	conserved	bivalent_like	False
17592	CATG00000029081.1	6	1065	30	65.801846	146.99	2	conserved	active_like	False
18502	AC015969.3	6	1054	0	57.949126	83.0	4	conserved	other	False
