core_id	gene_type	canonical_symbol	human_ensembl_id	human	chimp	macaque	marmoset	conservation_label	conservation_count
11	lncRNA	CATG00000000011.1	CATG00000000011.1	1	1	0	0	1100	2
34	lncRNA	CATG00000000034.1	CATG00000000034.1	1	1	0	0	1100	2
72	lncRNA	CATG00000000072.1	CATG00000000072.1	1	1	0	0	1100	2
183	lncRNA	CATG00000000183.1	CATG00000000183.1	1	0	0	0	1000	1
226	protein_coding	CATG00000000226.1	CATG00000000226	1	0	0	0	1000	1
227	protein_coding	CATG00000000227.1	CATG00000000227	1	0	0	0	1000	1
370	lncRNA	CATG00000000370.1	CATG00000000370.1	1	1	1	1	1111	4
380	protein_coding	CATG00000000380.1	CATG00000000380	1	0	0	0	1000	1
523	lncRNA	CATG00000000523.1	CATG00000000523.1	1	1	1	1	1111	4
681	lncRNA	CATG00000000681.1	CATG00000000681.1	1	1	1	1	1111	4
691	protein_coding	CATG00000000691.1	CATG00000000691	1	0	0	0	1000	1
703	lncRNA	CATG00000000703.1	CATG00000000703.1	1	1	1	1	1111	4
858	lncRNA	CATG00000000858.1	CATG00000000858.1	1	1	1	1	1111	4
944	lncRNA	CATG00000000944.1	CATG00000000944.1	1	1	1	1	1111	4
1034	lncRNA	CATG00000001034.1	CATG00000001034.1	1	1	1	1	1111	4
1093	lncRNA	CATG00000001093.1	CATG00000001093.1	1	1	0	1	1101	3
1365	lncRNA	CATG00000001365.1	CATG00000001365.1	1	1	1	0	1110	3
1384	protein_coding	CATG00000001384.1	CATG00000001384	1	0	0	0	1000	1
1429	protein_coding	CATG00000001429.1	CATG00000001429	1	0	0	0	1000	1
1430	lncRNA	CATG00000001430.1	CATG00000001430.1	1	1	0	1	1101	3
1493	lncRNA	CATG00000001493.1	CATG00000001493.1	1	1	1	1	1111	4
1672	lncRNA	CATG00000001672.1	CATG00000001672.1	1	1	0	1	1101	3
1676	lncRNA	CATG00000001676.1	CATG00000001676.1	1	1	0	1	1101	3
1816	protein_coding	CATG00000001816.1	CATG00000001816	1	0	0	0	1000	1
1906	lncRNA	CATG00000001906.1	CATG00000001906.1	1	1	0	1	1101	3
2023	lncRNA	CATG00000002023.1	CATG00000002023.1	1	1	0	1	1101	3
2075	lncRNA	CATG00000002075.1	CATG00000002075.1	1	1	0	1	1101	3
2235	protein_coding	CATG00000002235.1	CATG00000002235	1	0	0	0	1000	1
2236	lncRNA	CATG00000002236.1	CATG00000002236.1	1	1	0	1	1101	3
2237	lncRNA	CATG00000002237.1	CATG00000002237.1	1	1	0	1	1101	3
2239	lncRNA	CATG00000002239.1	CATG00000002239.1	1	0	0	1	1001	2
2249	lncRNA	CATG00000002249.1	CATG00000002249.1	1	0	0	1	1001	2
2256	protein_coding	CATG00000002256.1	CATG00000002256	1	0	0	0	1000	1
2261	lncRNA	CATG00000002261.1	CATG00000002261.1	1	1	0	1	1101	3
2332	lncRNA	CATG00000002332.1	CATG00000002332.1	1	0	0	1	1001	2
2334	lncRNA	CATG00000002334.1	CATG00000002334.1	1	0	0	1	1001	2
2449	protein_coding	CATG00000002449.1	CATG00000002449	1	0	0	0	1000	1
2463	lncRNA	CATG00000002463.1	CATG00000002463.1	1	1	0	0	1100	2
2667	lncRNA	CATG00000002667.1	CATG00000002667.1	1	1	1	1	1111	4
2705	lncRNA	CATG00000002705.1	CATG00000002705.1	1	1	0	1	1101	3
3034	lncRNA	CATG00000003034.1	CATG00000003034.1	1	1	1	0	1110	3
3157	lncRNA	CATG00000003157.1	CATG00000003157.1	1	1	1	0	1110	3
3162	protein_coding	CATG00000003162.1	CATG00000003162	1	0	0	0	1000	1
3300	lncRNA	CATG00000003300.1	CATG00000003300.1	1	1	1	1	1111	4
3445	protein_coding	CATG00000003445.1	CATG00000003445	1	0	0	0	1000	1
3622	lncRNA	CATG00000003622.1	CATG00000003622.1	1	1	0	0	1100	2
3643	lncRNA	CATG00000003643.1	CATG00000003643.1	1	1	1	0	1110	3
3777	protein_coding	CATG00000003777.1	CATG00000003777	1	0	0	0	1000	1
3787	lncRNA	CATG00000003787.1	CATG00000003787.1	1	1	1	1	1111	4
3892	lncRNA	CATG00000003892.1	CATG00000003892.1	1	1	1	1	1111	4
3943	protein_coding	CATG00000003943.1	CATG00000003943	1	0	0	0	1000	1
4001	lncRNA	CATG00000004001.1	CATG00000004001.1	1	1	1	1	1111	4
4005	lncRNA	CATG00000004005.1	CATG00000004005.1	1	1	1	1	1111	4
4098	protein_coding	CATG00000004098.1	CATG00000004098	1	0	0	0	1000	1
4175	lncRNA	CATG00000004175.1	CATG00000004175.1	1	1	1	1	1111	4
4289	lncRNA	CATG00000004289.1	CATG00000004289.1	1	1	1	1	1111	4
4303	protein_coding	CATG00000004303.1	CATG00000004303	1	0	0	0	1000	1
4376	protein_coding	CATG00000004376.1	CATG00000004376	1	0	0	0	1000	1
4535	protein_coding	CATG00000004535.1	CATG00000004535	1	0	0	0	1000	1
4613	protein_coding	CATG00000004613.1	CATG00000004613	1	0	0	0	1000	1
4937	lncRNA	CATG00000004937.1	CATG00000004937.1	1	1	0	0	1100	2
5247	lncRNA	CATG00000005247.1	CATG00000005247.1	1	1	0	1	1101	3
5254	lncRNA	CATG00000005254.1	CATG00000005254.1	1	1	0	1	1101	3
5272	lncRNA	CATG00000005272.1	CATG00000005272.1	1	1	0	1	1101	3
5325	lncRNA	CATG00000005325.1	CATG00000005325.1	1	1	0	1	1101	3
5391	lncRNA	CATG00000005391.1	CATG00000005391.1	1	1	0	1	1101	3
5458	lncRNA	CATG00000005458.1	CATG00000005458.1	1	1	0	1	1101	3
5468	lncRNA	CATG00000005468.1	CATG00000005468.1	1	1	0	1	1101	3
5529	lncRNA	CATG00000005529.1	CATG00000005529.1	1	1	0	1	1101	3
5551	lncRNA	CATG00000005551.1	CATG00000005551.1	1	1	0	1	1101	3
5608	lncRNA	CATG00000005608.1	CATG00000005608.1	1	0	0	1	1001	2
5609	lncRNA	CATG00000005609.1	CATG00000005609.1	1	0	0	1	1001	2
5705	lncRNA	CATG00000005705.1	CATG00000005705.1	1	1	0	1	1101	3
5706	protein_coding	CATG00000005706.1	CATG00000005706	1	0	0	0	1000	1
5744	protein_coding	CATG00000005744.1	CATG00000005744	1	0	0	0	1000	1
5765	protein_coding	CATG00000005765.1	CATG00000005765	1	0	0	0	1000	1
5774	lncRNA	CATG00000005774.1	CATG00000005774.1	1	1	0	1	1101	3
5853	lncRNA	CATG00000005853.1	CATG00000005853.1	1	1	0	1	1101	3
5854	lncRNA	CATG00000005854.1	CATG00000005854.1	1	1	0	1	1101	3
5855	lncRNA	CATG00000005855.1	CATG00000005855.1	1	1	0	1	1101	3
5866	lncRNA	CATG00000005866.1	CATG00000005866.1	1	1	0	1	1101	3
5899	lncRNA	CATG00000005899.1	CATG00000005899.1	1	1	1	1	1111	4
5914	lncRNA	CATG00000005914.1	CATG00000005914.1	1	1	0	1	1101	3
5987	lncRNA	CATG00000005987.1	CATG00000005987.1	1	1	0	0	1100	2
6127	lncRNA	CATG00000006127.1	CATG00000006127.1	1	1	1	1	1111	4
6140	lncRNA	CATG00000006140.1	CATG00000006140.1	1	1	1	0	1110	3
6223	lncRNA	CATG00000006223.1	CATG00000006223.1	1	1	1	1	1111	4
6256	lncRNA	CATG00000006256.1	CATG00000006256.1	1	1	1	0	1110	3
6264	lncRNA	CATG00000006264.1	CATG00000006264.1	1	1	1	0	1110	3
6466	lncRNA	CATG00000006466.1	CATG00000006466.1	1	1	1	0	1110	3
6482	lncRNA	CATG00000006482.1	CATG00000006482.1	1	1	1	0	1110	3
6484	lncRNA	CATG00000006484.1	CATG00000006484.1	1	1	1	1	1111	4
6489	lncRNA	CATG00000006489.1	CATG00000006489.1	1	1	1	0	1110	3
6490	lncRNA	CATG00000006490.1	CATG00000006490.1	1	1	1	0	1110	3
6600	lncRNA	CATG00000006600.1	CATG00000006600.1	1	1	0	0	1100	2
6914	lncRNA	CATG00000006914.1	CATG00000006914.1	1	1	0	1	1101	3
6919	protein_coding	CATG00000006919.1	CATG00000006919	1	0	0	0	1000	1
6982	protein_coding	CATG00000006982.1	CATG00000006982	1	0	0	0	1000	1
7117	lncRNA	CATG00000007117.1	CATG00000007117.1	1	1	1	1	1111	4
7131	lncRNA	CATG00000007131.1	CATG00000007131.1	1	1	1	1	1111	4
7149	lncRNA	CATG00000007149.1	CATG00000007149.1	1	1	1	1	1111	4
7157	lncRNA	CATG00000007157.1	CATG00000007157.1	1	1	1	0	1110	3
7158	lncRNA	CATG00000007158.1	CATG00000007158.1	1	1	1	0	1110	3
7301	lncRNA	CATG00000007301.1	CATG00000007301.1	1	1	1	1	1111	4
7308	lncRNA	CATG00000007308.1	CATG00000007308.1	1	1	1	1	1111	4
7390	lncRNA	CATG00000007390.1	CATG00000007390.1	1	1	1	1	1111	4
7588	protein_coding	CATG00000007588.1	CATG00000007588	1	0	0	0	1000	1
7659	lncRNA	CATG00000007659.1	CATG00000007659.1	1	0	0	0	1000	1
7805	lncRNA	CATG00000007805.1	CATG00000007805.1	1	1	1	1	1111	4
7931	lncRNA	CATG00000007931.1	CATG00000007931.1	1	1	1	0	1110	3
7993	lncRNA	CATG00000007993.1	CATG00000007993.1	1	1	0	0	1100	2
8117	lncRNA	CATG00000008117.1	CATG00000008117.1	1	1	1	0	1110	3
8128	lncRNA	CATG00000008128.1	CATG00000008128.1	1	1	1	0	1110	3
8226	lncRNA	CATG00000008226.1	CATG00000008226.1	1	1	1	0	1110	3
8313	protein_coding	CATG00000008313.1	CATG00000008313	1	0	0	0	1000	1
8353	lncRNA	CATG00000008353.1	CATG00000008353.1	1	1	1	1	1111	4
8709	lncRNA	CATG00000008709.1	CATG00000008709.1	1	0	1	0	1010	2
8939	lncRNA	CATG00000008939.1	CATG00000008939.1	1	1	1	1	1111	4
8961	lncRNA	CATG00000008961.1	CATG00000008961.1	1	0	1	1	1011	3
8982	protein_coding	CATG00000008982.1	CATG00000008982	1	0	0	0	1000	1
8983	lncRNA	CATG00000008983.1	CATG00000008983.1	1	0	1	1	1011	3
8986	protein_coding	CATG00000008986.1	CATG00000008986	1	0	0	0	1000	1
9016	lncRNA	CATG00000009016.1	CATG00000009016.1	1	1	1	0	1110	3
9125	lncRNA	CATG00000009125.1	CATG00000009125.1	1	1	1	1	1111	4
9163	lncRNA	CATG00000009163.1	CATG00000009163.1	1	0	1	1	1011	3
9193	lncRNA	CATG00000009193.1	CATG00000009193.1	1	0	0	0	1000	1
9365	lncRNA	CATG00000009365.1	CATG00000009365.1	1	1	1	0	1110	3
9582	lncRNA	CATG00000009582.1	CATG00000009582.1	1	1	1	1	1111	4
9676	lncRNA	CATG00000009676.1	CATG00000009676.1	1	1	0	0	1100	2
9732	lncRNA	CATG00000009732.1	CATG00000009732.1	1	1	1	0	1110	3
9873	lncRNA	CATG00000009873.1	CATG00000009873.1	1	1	1	0	1110	3
9893	lncRNA	CATG00000009893.1	CATG00000009893.1	1	1	1	0	1110	3
9912	lncRNA	CATG00000009912.1	CATG00000009912.1	1	1	1	0	1110	3
9913	lncRNA	CATG00000009913.1	CATG00000009913.1	1	1	1	0	1110	3
10165	lncRNA	CATG00000010165.1	CATG00000010165.1	1	1	1	1	1111	4
10259	lncRNA	CATG00000010259.1	CATG00000010259.1	1	1	1	1	1111	4
10261	protein_coding	CATG00000010261.1	CATG00000010261	1	0	0	0	1000	1
10277	protein_coding	CATG00000010277.1	CATG00000010277	1	0	0	0	1000	1
10279	lncRNA	CATG00000010279.1	CATG00000010279.1	1	1	1	1	1111	4
10431	lncRNA	CATG00000010431.1	CATG00000010431.1	1	1	1	1	1111	4
10476	lncRNA	CATG00000010476.1	CATG00000010476.1	1	1	1	0	1110	3
10504	lncRNA	CATG00000010504.1	CATG00000010504.1	1	1	1	1	1111	4
10577	lncRNA	CATG00000010577.1	CATG00000010577.1	1	1	0	1	1101	3
10638	lncRNA	CATG00000010638.1	CATG00000010638.1	1	1	1	0	1110	3
10710	lncRNA	CATG00000010710.1	CATG00000010710.1	1	0	1	1	1011	3
10975	lncRNA	CATG00000010975.1	CATG00000010975.1	1	1	0	1	1101	3
11105	lncRNA	CATG00000011105.1	CATG00000011105.1	1	1	1	1	1111	4
11109	lncRNA	CATG00000011109.1	CATG00000011109.1	1	1	1	1	1111	4
11192	lncRNA	CATG00000011192.1	CATG00000011192.1	1	1	1	1	1111	4
11720	lncRNA	CATG00000011720.1	CATG00000011720.1	1	0	1	0	1010	2
11999	lncRNA	CATG00000011999.1	CATG00000011999.1	1	0	1	1	1011	3
12098	lncRNA	CATG00000012098.1	CATG00000012098.1	1	1	1	1	1111	4
12346	lncRNA	CATG00000012346.1	CATG00000012346.1	1	0	1	1	1011	3
12359	lncRNA	CATG00000012359.1	CATG00000012359.1	1	1	1	1	1111	4
12605	lncRNA	CATG00000012605.1	CATG00000012605.1	1	1	1	0	1110	3
12823	lncRNA	CATG00000012823.1	CATG00000012823.1	1	1	1	0	1110	3
13067	lncRNA	CATG00000013067.1	CATG00000013067.1	1	1	1	1	1111	4
13305	lncRNA	CATG00000013305.1	CATG00000013305.1	1	1	1	1	1111	4
13312	lncRNA	CATG00000013312.1	CATG00000013312.1	1	0	1	1	1011	3
13322	lncRNA	CATG00000013322.1	CATG00000013322.1	1	1	1	1	1111	4
13334	lncRNA	CATG00000013334.1	CATG00000013334.1	1	1	1	1	1111	4
13475	lncRNA	CATG00000013475.1	CATG00000013475.1	1	1	1	1	1111	4
13480	lncRNA	CATG00000013480.1	CATG00000013480.1	1	1	1	1	1111	4
13492	lncRNA	CATG00000013492.1	CATG00000013492.1	1	1	1	1	1111	4
13615	protein_coding	CATG00000013615.1	CATG00000013615	1	0	0	0	1000	1
13773	lncRNA	CATG00000013773.1	CATG00000013773.1	1	1	1	1	1111	4
13774	protein_coding	CATG00000013774.1	CATG00000013774	1	0	0	0	1000	1
13808	protein_coding	CATG00000013808.1	CATG00000013808	1	0	0	0	1000	1
13895	lncRNA	CATG00000013895.1	CATG00000013895.1	1	1	0	1	1101	3
14020	lncRNA	CATG00000014020.1	CATG00000014020.1	1	1	1	1	1111	4
14027	lncRNA	CATG00000014027.1	CATG00000014027.1	1	1	1	0	1110	3
14051	lncRNA	CATG00000014051.1	CATG00000014051.1	1	1	1	1	1111	4
14352	protein_coding	CATG00000014352.1	CATG00000014352	1	0	0	0	1000	1
14356	lncRNA	CATG00000014356.1	CATG00000014356.1	1	0	1	1	1011	3
14359	lncRNA	CATG00000014359.1	CATG00000014359.1	1	0	1	1	1011	3
14362	lncRNA	CATG00000014362.1	CATG00000014362.1	1	0	1	1	1011	3
14466	lncRNA	CATG00000014466.1	CATG00000014466.1	1	0	1	1	1011	3
14472	lncRNA	CATG00000014472.1	CATG00000014472.1	1	0	1	1	1011	3
14801	protein_coding	CATG00000014801.1	CATG00000014801	1	0	0	0	1000	1
14806	protein_coding	CATG00000014806.1	CATG00000014806	1	0	0	0	1000	1
15047	lncRNA	CATG00000015047.1	CATG00000015047.1	1	1	1	1	1111	4
15170	lncRNA	CATG00000015170.1	CATG00000015170.1	1	1	1	0	1110	3
15453	lncRNA	CATG00000015453.1	CATG00000015453.1	1	1	1	0	1110	3
15555	lncRNA	CATG00000015555.1	CATG00000015555.1	1	1	1	0	1110	3
15927	lncRNA	CATG00000015927.1	CATG00000015927.1	1	1	1	1	1111	4
16106	protein_coding	CATG00000016106.1	CATG00000016106	1	0	0	0	1000	1
16162	lncRNA	CATG00000016162.1	CATG00000016162.1	1	1	1	1	1111	4
16231	protein_coding	CATG00000016231.1	CATG00000016231	1	0	0	0	1000	1
16250	protein_coding	CATG00000016250.1	CATG00000016250	1	0	0	0	1000	1
16254	lncRNA	CATG00000016254.1	CATG00000016254.1	1	1	1	1	1111	4
16458	lncRNA	CATG00000016458.1	CATG00000016458.1	1	1	0	0	1100	2
16466	lncRNA	CATG00000016466.1	CATG00000016466.1	1	1	0	1	1101	3
16469	lncRNA	CATG00000016469.1	CATG00000016469.1	1	1	0	1	1101	3
16481	protein_coding	CATG00000016481.1	CATG00000016481	1	0	0	0	1000	1
16488	lncRNA	CATG00000016488.1	CATG00000016488.1	1	1	1	1	1111	4
16513	lncRNA	CATG00000016513.1	CATG00000016513.1	1	1	1	1	1111	4
16516	lncRNA	CATG00000016516.1	CATG00000016516.1	1	1	0	1	1101	3
16522	lncRNA	CATG00000016522.1	CATG00000016522.1	1	1	1	1	1111	4
16645	lncRNA	CATG00000016645.1	CATG00000016645.1	1	0	0	0	1000	1
16698	lncRNA	CATG00000016698.1	CATG00000016698.1	1	1	1	1	1111	4
